
id,text
1,"The health campaign was informative and reassuring."
2,"Many users felt confused and angry about the sudden announcement."
3,"The update was helpful, clear, and timely."
4,"People were worried about misinformation spreading online."
5,"The policy response seemed slow and frustrating."
6,"Several posts expressed gratitude toward healthcare workers."
7,"The news tone created panic among readers."
8,"Some users praised the transparency of the reporting."
9,"Public reactions reflected uncertainty and stress."
10,"The platform discussion was balanced and constructive."
